company_name,fit_score,industry_alignment,mission_alignment,career_alignment,growth_potential,reasoning,best_roles,interesting_factors,red_flags,confidence,run_id,source_path,timestamp,original_fit_score,calibrated_fit_score,calibration_feedback,calibrated_at
Komodo Health,5.3,5.0,6.0,4.3,6.0,"Active healthcare-data platform; strong data-science and real-world-evidence fit, with US-centric hiring. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with healthcare data and analytics; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Healthcare data and analytics; Legacy user-selected LAMP target,Canadian hiring support is unverified,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/komodo-health.json,2026-08-05T16:26:30+00:00,,,,
LAVROL,5.2,5.0,6.0,4.5,5.2,"Current company identity and official presence could not be verified. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with unknown legacy lead; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Unknown legacy lead; Legacy user-selected LAMP target,Current hiring or company evidence is limited,2.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/lavrol.json,2026-08-05T16:26:30+00:00,,,,
LifeLabs,7.4,8.0,8.0,6.5,7.0,"Existing inventory company; Canadian laboratory diagnostics employer. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with diagnostics; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Diagnostics; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/lifelabs.json,2026-08-05T16:26:30+00:00,,,,
Lumosity,5.6,5.0,6.0,5.5,6.0,"Likely intended by legacy 'Luminosity'; active cognitive-training product, but neuroscience claims and Canadian hiring are limited. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with digital cognitive health; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital cognitive health; Legacy user-selected LAMP target,,7.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/lumosity.json,2026-08-05T16:26:30+00:00,,,,
Lyra Health,7.0,8.0,8.5,5.5,6.2,"Active employer mental-health platform with clinical and analytics teams; Canadian hiring uncertain. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with digital mental health; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital mental health; Legacy user-selected LAMP target,Current hiring or company evidence is limited,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/lyra-health.json,2026-08-05T16:26:30+00:00,,,,
Mila,8.2,8.0,8.0,8.5,8.5,"Montreal AI research institute; excellent location/methods network but academic institute roles are not the primary target. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with ai research institute; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,AI research institute; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/mila.json,2026-08-05T16:26:30+00:00,,,,
MindMed,7.7,8.5,9.0,6.5,6.5,"Active clinical-stage neuropsychiatric biopharma. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with psychedelic biopharma; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Psychedelic biopharma; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/mindmed.json,2026-08-05T16:26:30+00:00,,,,
MindPortal,8.2,9.5,9.0,7.5,7.0,"Early-stage neurotechnology company working on neural sensing/interfaces; limited public hiring detail. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Neurotechnology; Legacy user-selected LAMP target,,8.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/mindportal.json,2026-08-05T16:26:31+00:00,,,,
Mindspace Wellbeing,7.0,8.0,8.5,5.5,6.2,"Likely refers to a mental-health service provider; identity and technical-employer fit are uncertain. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with mental health services; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Mental health services; Legacy user-selected LAMP target,Current hiring or company evidence is limited,5.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/mindspace-wellbeing.json,2026-08-05T16:26:31+00:00,,,,
Mindstate Design Labs,8.0,9.0,8.5,7.5,7.2,"Early-stage AI-enabled psychedelic drug-discovery company; strong fit but limited role volume. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with psychedelic ai drug discovery; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Psychedelic AI drug discovery; Legacy user-selected LAMP target,,9.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/mindstate-design-labs.json,2026-08-05T16:26:31+00:00,,,,
Moment Factory,5.6,5.0,6.0,5.5,6.0,"Active Montreal immersive-experience studio; creative technology fit but limited biomedical alignment. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with immersive media technology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Immersive media technology; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/moment-factory.json,2026-08-05T16:26:31+00:00,,,,
MySense,5.3,5.0,6.0,4.3,6.0,"UK home-monitoring and predictive-health platform; Canadian hiring unverified. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with remote patient monitoring; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Remote patient monitoring; Legacy user-selected LAMP target,Canadian hiring support is unverified,8.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/mysense.json,2026-08-05T16:26:31+00:00,,,,
Myndlift,5.6,5.0,6.0,5.5,6.0,"Active remote neurofeedback platform; strong EEG/mental-health overlap, but Canadian hiring unverified. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with digital neurotherapy; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital neurotherapy; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/myndlift.json,2026-08-05T16:26:31+00:00,,,,
Myndspan,7.8,9.5,9.0,6.5,6.2,"Active brain-health assessment company using MEG; strong neuroscience-data fit, with geography/hiring uncertainty. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with brain imaging and mental health; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Brain imaging and mental health; Legacy user-selected LAMP target,Current hiring or company evidence is limited,9.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/myndspan.json,2026-08-05T16:26:31+00:00,,,,
NIU Sleep,7.4,8.0,8.0,6.5,7.0,"Early-stage continuous melatonin-monitoring wearable; legacy name 'Nuesleep' appears ambiguous. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with sleep wearable biotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Sleep wearable biotechnology; Legacy user-selected LAMP target,,6.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/niu-sleep.json,2026-08-05T16:26:31+00:00,,,,
Neuralink,8.1,9.5,9.0,7.0,7.0,"Active invasive BCI company; exceptional neurotech alignment but US on-site and regulatory constraints. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with implantable neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Implantable neurotechnology; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/neuralink.json,2026-08-05T16:26:31+00:00,,,,
Neureka,5.2,5.0,6.0,4.0,6.0,"Trinity College Dublin-linked citizen-science mental-health platform; likely research project rather than conventional employer. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with digital neuroscience research; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital neuroscience research; Legacy user-selected LAMP target,,7.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/neureka.json,2026-08-05T16:26:31+00:00,,,,
Neurescence,5.2,5.0,6.0,4.5,5.2,"Canadian neuroscience imaging company; strong bench/neuro fit, but current scale and hiring are unclear. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with neuroscience imaging technology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Neuroscience imaging technology; Legacy user-selected LAMP target,Current hiring or company evidence is limited,8.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/neurescence.json,2026-08-05T16:26:31+00:00,,,,
NeuroCreate,7.9,9.5,9.0,6.3,7.0,"Small UK neurotechnology company focused on creativity and cognitive tools; Canadian hiring unlikely. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with creative neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Creative neurotechnology; Legacy user-selected LAMP target,Canadian hiring support is unverified,8.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/neurocreate.json,2026-08-05T16:26:31+00:00,,,,
Neurogazer,7.8,9.5,9.0,6.5,6.2,"Small/early neurotechnology lead; current product, team and hiring evidence remain sparse. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Neurotechnology; Legacy user-selected LAMP target,Current hiring or company evidence is limited,5.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/neurogazer.json,2026-08-05T16:26:31+00:00,,,,
Neurosity,7.9,9.5,9.0,6.3,7.0,"Active EEG wearable/BCI company; highly relevant signal-processing domain, but small US-centric team. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with wearable neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Wearable neurotechnology; Legacy user-selected LAMP target,Canadian hiring support is unverified,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/neurosity.json,2026-08-05T16:26:31+00:00,,,,
Noveris Health Science Inc,4.2,6.0,6.5,2.0,2.5,"Noveris has healthcare and mental-health therapeutic relevance, but its official site states that R&D is paused and the company is currently centered on cash, intellectual property, recapitalization, and potential transactions. There is no verified ML or computational-biology focus and no current hiring signal, making it a weak near-term career target.",Research Scientist; Scientific Consultant,Mental-health therapeutics focus; Vancouver registered office; Existing patent portfolio,Research and development activities are paused; No active-hiring signal found; Pre-revenue with no approved products; No verified ML or computational biology focus,8.5,20260802T010000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260802T010000Z/company_evaluations/noveris-health-science-inc.json,2026-08-02T00:55:18+00:00,,,,
Numinus Wellness,5.9,8.5,9.0,3.5,2.0,"Operating focus remains psychedelic-assisted mental health, but TSX delisting took effect April 22, 2026 after continued-listing failures. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with mental health and psychedelics; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Mental health and psychedelics; Legacy user-selected LAMP target,Severe financial/listing risk,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/numinus-wellness.json,2026-08-05T16:26:31+00:00,,,,
Nurau,6.5,5.5,5.5,7.5,7.5,"Active Montreal-area voice-first industrial risk-intelligence platform; no longer positioned as neurotechnology. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with industrial ai; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Industrial AI; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/nurau.json,2026-08-05T16:26:31+00:00,,,,
Onco-Innovations,8.1,9.0,9.0,7.0,7.5,"Onco-Innovations strongly matches the candidate's AI, precision-medicine, and drug-discovery interests through its AI-native discovery platform, cancer therapeutics, and nanoparticle delivery work. It is Canada-based and shows recent financing and development activity, but no specific computational role or active hiring page was verified.",Machine Learning Scientist; Computational Biologist; Data Scientist; Research Scientist,AI-native oncology discovery platform; DNA-damage-response therapeutics; Nanoparticle drug delivery; Recent financing and development updates,No active-hiring signal found; Computational team size and stack are unknown; Clinical and regulatory stage remains early,8.0,20260802T010000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260802T010000Z/company_evaluations/onco-innovations.json,2026-08-02T00:56:22+00:00,,,,
Oncoustics,8.5,9.0,8.5,8.5,8.0,"Existing inventory company; Toronto ultrasound AI company with strong medical-imaging alignment. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with medical imaging ai; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Medical imaging AI; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/oncoustics.json,2026-08-05T16:26:31+00:00,,,,
One Mind,5.6,5.0,6.0,5.5,6.0,"Active mental-health nonprofit/funder; mission fit is high but it is not primarily a technology product company. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with mental-health nonprofit; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Mental-health nonprofit; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/one-mind.json,2026-08-05T16:26:31+00:00,,,,
PathAI,8.1,9.0,8.5,7.3,8.0,"Active AI pathology company; strong imaging and biomedical ML fit, mostly US-based. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with medical imaging ai; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Medical imaging AI; Legacy user-selected LAMP target,Canadian hiring support is unverified,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/pathai.json,2026-08-05T16:26:31+00:00,,,,
Precision NanoSystems,5.6,5.0,6.0,5.5,6.0,"Vancouver-founded nanoparticle platform now part of Cytiva/Danaher; strong science fit but roles may sit under parent brands. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with genomic medicine technology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Genomic medicine technology; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/precision-nanosystems.json,2026-08-05T16:26:31+00:00,,,,
Provincial Health Services Authority,7.5,8.0,8.5,7.0,6.5,"Major BC health employer; hospital/research staff roles are acceptable, with Vancouver location and public-sector constraints. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with public healthcare; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Public healthcare; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/provincial-health-services-authority.json,2026-08-05T16:26:31+00:00,,,,
Quantified Citizen,5.6,5.0,6.0,5.5,6.0,"Consumer participatory-research platform; current hiring scale appears limited. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with digital health research; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital health research; Legacy user-selected LAMP target,,8.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/quantified-citizen.json,2026-08-05T16:26:31+00:00,,,,
Spring Health,7.5,8.0,8.5,6.5,7.0,"Active employer-focused mental-health platform using data-driven care navigation. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with digital mental health; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital mental health; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/spring-health.json,2026-08-05T16:26:31+00:00,,,,
Synapse Life Science Consortium,5.6,5.0,6.0,5.5,6.0,"Active Hamilton/Halton ecosystem consortium; networking and ecosystem roles rather than a product-company target. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with life-sciences ecosystem organization; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Life-sciences ecosystem organization; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/synapse-life-science-consortium.json,2026-08-05T16:26:31+00:00,,,,
Synchron,7.7,9.5,9.0,5.8,7.0,"Active clinical-stage BCI company; very strong neurotechnology fit but primarily US/Australia based. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with implantable neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Implantable neurotechnology; Legacy user-selected LAMP target,Canadian hiring support is unverified,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/synchron.json,2026-08-05T16:26:31+00:00,,,,
Toptal,5.2,5.0,6.0,4.0,6.0,"Active remote freelance network; flexible but not a mission-aligned product employer. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with remote talent marketplace; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Remote talent marketplace; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/toptal.json,2026-08-05T16:26:31+00:00,,,,
Unity Technologies,5.6,5.0,6.0,5.5,6.0,"Active real-time 3D platform; useful for immersive-health work but not intrinsically biomedical. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with software and immersive technology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Software and immersive technology; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/unity-technologies.json,2026-08-05T16:26:31+00:00,,,,
Usona Institute,7.2,8.5,9.0,5.5,5.7,"Active nonprofit psychedelic drug-development/research institute; US location and limited role volume. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with psychedelic research nonprofit; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Psychedelic research nonprofit; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/usona-institute.json,2026-08-05T16:26:31+00:00,,,,
Valence Labs,8.7,9.0,8.5,9.2,8.0,"Existing inventory company; Recursion research unit in Montreal with strong ML-for-drug-discovery fit. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with ai drug discovery; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,AI drug discovery; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/valence-labs.json,2026-08-05T16:26:31+00:00,,,,
Vancouver Coastal Health,7.5,8.0,8.5,7.0,6.5,"Large BC health authority with analytics/research roles; acceptable staff-employer setting. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with public healthcare; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Public healthcare; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/vancouver-coastal-health.json,2026-08-05T16:26:31+00:00,,,,
Varsity Tutors,5.6,5.0,6.0,5.5,6.0,"Remote tutoring marketplace; part-time flexibility but very weak domain and career alignment. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with education technology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Education technology; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/varsity-tutors.json,2026-08-05T16:26:31+00:00,,,,
Verily,5.3,5.0,6.0,4.3,6.0,"Active Alphabet health-tech company with multimodal data and clinical-research platforms; mostly US-based. The candidate's neuroscience, biomedical-data, statistics and ML background gives transferable alignment with digital health and life sciences; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Digital health and life sciences; Legacy user-selected LAMP target,Canadian hiring support is unverified,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/verily.json,2026-08-05T16:26:31+00:00,,,,
VitaPulse,8.5,9.5,9.0,8.0,6.5,"VitaPulse closely matches the candidate's healthcare-AI, physiological-data, and computational research background through machine-learning detection models built on wearable signals and clinically relevant data. Its Vancouver location is attractive, but the company is pre-seed and no active hiring signal or detailed technical team information was verified.",Machine Learning Scientist; AI Scientist; Data Scientist; Research Scientist,Machine learning on physiological signals; Wearable-based clinical monitoring; Digital biomarkers and remote patient monitoring; Vancouver location,Pre-seed stage; No active-hiring signal found; Official-site content could not be independently inspected due to bot protection,7.5,20260802T010000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260802T010000Z/company_evaluations/vitapulse.json,2026-08-02T00:56:56+00:00,,,,
Wavepaths,7.7,8.5,9.0,6.5,6.5,"Active immersive-therapy technology company; small team and Canadian hiring unverified. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with psychedelic mental health technology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Psychedelic mental health technology; Legacy user-selected LAMP target,,9.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/wavepaths.json,2026-08-05T16:26:31+00:00,,,,
Wax-it Histology Services,7.0,8.0,8.0,6.0,6.0,"Wax-it offers meaningful alignment through medical imaging, digital pathology, quantitative image analysis, biomarker research, and neuroscience-adjacent histology. The candidate's multimodal and neuroimaging-related experience may transfer well, but the company is primarily a histology CRO and no ML-specific role or hiring signal was verified.",Data Scientist; Research Scientist; Scientific Consultant; Machine Learning Scientist,Digital pathology and quantitative image analysis; AI-ready pathology datasets; Dementia and biomarker research support; Vancouver/UBC ecosystem,No active-hiring signal found; Core business is laboratory services rather than ML product development; Technical ML stack is unknown,8.0,20260802T010000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260802T010000Z/company_evaluations/wax-it-histology-services.json,2026-08-02T00:57:30+00:00,,,,
Winterlight Labs,7.8,9.5,9.0,6.5,6.2,"Speech-based cognitive assessment company; current independent operating/hiring status is uncertain after acquisition activity. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with digital biomarkers; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Digital biomarkers; Legacy user-selected LAMP target,Current hiring or company evidence is limited,7.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/winterlight-labs.json,2026-08-05T16:26:31+00:00,,,,
Zentrela,8.5,9.5,9.0,8.2,7.0,"Canadian EEG analytics company measuring psychoactive effects; unusually direct neuroscience/data fit, but small team. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with cannabis neurotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Machine Learning Scientist; Data Scientist; Research Scientist,Cannabis neurotechnology; Legacy user-selected LAMP target,,9.0,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/zentrela.json,2026-08-05T16:26:31+00:00,,,,
Zymeworks,7.4,8.0,8.0,6.5,7.0,"Existing inventory company; Vancouver biotech with translational and computational opportunities. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with biotechnology; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Biotechnology; Legacy user-selected LAMP target,,9.8,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/zymeworks.json,2026-08-05T16:26:31+00:00,,,,
atai Life Sciences,7.7,8.5,9.0,6.5,6.5,"Active clinical-stage mental-health biopharma portfolio company. The candidate's neuroscience, biomedical-data, statistics and ML background gives strong alignment with psychedelic biopharma; career score reflects current role visibility, geography and employer type rather than mission alone.",Data Scientist; Research Scientist,Psychedelic biopharma; Legacy user-selected LAMP target,,9.5,20260805T190000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260805T190000Z/company_evaluations/atai-life-sciences.json,2026-08-05T16:26:30+00:00,,,,
nymble health,8.0,9.0,8.5,7.5,7.0,"nymble health is a strong match for the candidate's healthcare-AI and applied-ML background: it combines clinical practice with AI-powered personalized support and reports real-world engagement and adherence outcomes. Vancouver location and a growing international clinical-partner footprint add fit, although no open role or detailed technical stack was verified.",Machine Learning Scientist; Data Scientist; AI Scientist; Research Scientist,AI-enabled behavioural health support; Clinical outcomes and adherence data; Vancouver location; API and agent products for care organizations,No active-hiring signal found; Detailed ML stack is not public; Small-company role scope may be broad,8.0,20260802T010000Z,/Users/rmcph/Desktop/Career/portfolio_projects/job-search-agent/data/staging/runs/20260802T010000Z/company_evaluations/nymble-health.json,2026-08-02T00:55:50+00:00,,,,
